X,K,L,NMI,RAND,DAVIES
X_train,17,7,0.553474819247,0.336009192866,6.30283607753
X_train_norm,17,7,0.549136005516,0.318667560567,6.85992900119
X_train_tfidf,17,7,0.565827639885,0.330754460426,7.52521063486
X_train_norm_tfidf,17,7,0.572369436295,0.338095565972,7.4148228923
X_train,17,10,0.571254751609,0.37642754519,6.11211036434
X_train_norm,17,10,0.590505001603,0.385974196032,6.54848099497
X_train_tfidf,17,10,0.570507421814,0.360261249279,7.15977221198
X_train_norm_tfidf,17,10,0.529409440116,0.289824947802,7.4871494915
X_train,17,13,0.589661835607,0.407702831814,5.80418927846
