word,tf norm value
jogo,12.3842888878
jogos,12.1327377867
of,6.66858864083
playstation,6.50286252979
xbox,5.93517551309
novo,5.62554735965
games,5.34174372223
game,5.28617735286
console,4.56307259533
sony,4.15619803355
the,4.10855529243
brasil,3.95312344174
wii,3.89686450689
league,3.37947463435
ufc,3.29521557466
nintendo,3.27248181662
legends,3.23393553266
dia,3.18236021707
apenas,3.02588250964
monetáriointerno,2.78517788638
arena,2.76463117336
além,2.71994039526
one,2.70936450188
nova,2.69380922367
ano,2.68578341528
lançado,2.55713526763
lançamento,2.51527656234
ps,2.46754638865
usmonetáriointerno,2.42679030312
melhor,2.39385989283
jogadores,2.35449784007
microsoft,2.27360974308
feira,2.19319251612
evento,2.18968859901
mil,2.17205311579
pessoas,2.14219442352
durante,2.08412445751
site,2.05467387073
mundo,1.88703271527
versão,1.88500423837
título,1.84191892132
controle,1.82954207277
indústria,1.8052180076
segundo,1.79153202849
videogames,1.7592797551
empresa,1.7554358887
companhia,1.74620903367
dois,1.72646777071
super,1.72175697871
parte,1.60521695016
personagens,1.5857127324
estúdio,1.48914492744
live,1.4846604526
assim,1.46788858886
aldo,1.46692414657
online,1.46328697192
new,1.45891914386
trailer,1.45494074245
bem,1.44931473687
público,1.44341844933
série,1.43931423906
rio,1.41329069432
brasileiro,1.38979162921
final,1.34773322496
anunciou,1.34187415353
preço,1.34099782111
tempo,1.32088405942
consoles,1.30651374934
conferência,1.29175578459
maior,1.28588897959
menos,1.28523967025
onde,1.28193268259
vídeo,1.27910402877
riot,1.27386780829
chega,1.27229165206
anos,1.26672078104
apesar,1.26538957775
outubro,1.26535743723
studios,1.25671895091
forma,1.25171389067
traz,1.25000597846
novos,1.24431475513
acordo,1.2431073808
possível,1.2418771181
aqui,1.23486248873
brasileiros,1.23024510066
flappy,1.20950203913
ea,1.20185438297
jogar,1.20154797209
executivo,1.20152272119
qualquer,1.19958034223
desenvolvimento,1.19807908668
cinturão,1.19336650722
multiplayer,1.17173750492
paulo,1.17090318422
world,1.16506836627
conta,1.16174195706
festival,1.14575356691
josé,1.12556690642
tv,1.11121944323
caio,1.11098094983
campeão,1.10713082554
atual,1.09153727038
dias,1.09141041558
independentes,1.09101463388
equipe,1.08774025865
sociais,1.0809864299
meio,1.07574992806
dez,1.06929711536
mercado,1.06502178563
novembro,1.06223859361
sistema,1.06209061866
eua,1.06086017674
and,1.05397694487
criadores,1.05336797773
títulos,1.05030565366
apresentação,1.04224761355
belfort,1.03808887591
lista,1.03673531237
cultura,1.01049371653
gente,1.00283935135
oficial,0.989717153872
dentro,0.9895738794
nada,0.98290618279
milhões,0.981349044741
mario,0.979866188093
setembro,0.966834514332
data,0.966128383974
luta,0.964473984852
pc,0.958334650684
detalhes,0.956703899435
acontece,0.954371302803
