word,V cluster 1 value,tf norm value
jogo,9.54459434012,17.409134665
dia,4.87469799074,5.32093077415
jogadores,4.57310833793,4.30228612023
ano,4.27995646724,4.75079310834
apenas,3.87553318254,4.59242923649
melhor,3.76493318512,4.04988727448
monetáriointerno,3.49747655623,4.81840908599
dois,3.30517530788,4.46835594418
feira,3.29197728789,6.63423662207
mundo,3.00132543142,3.30879150899
durante,2.95626465854,3.25896696005
segundo,2.75518170319,4.64121947369
jogar,2.6559383761,2.80796312875
título,2.61367436319,4.31037511355
bem,2.46299286964,3.10801094029
maior,2.35284163632,2.46204157517
tempo,2.3486343232,4.3141804196
brasileiro,2.29128914356,4.87632646275
paulo,2.17197767624,4.23639183759
conta,2.09149075688,2.40958508998
novo,1.94372471811,6.4397883303
além,1.88676773706,3.65357593645
apesar,1.87147708349,2.15949278802
equipe,1.8548944296,5.38402375813
brasil,1.7817864104,4.75295749281
final,1.76499255857,4.9373205725
dentro,1.71492630944,1.84299175991
quatro,1.68575654173,2.41344692675
dias,1.64307618773,1.8005169387
afirmou,1.60389896375,2.39849152024
forma,1.59589700255,2.0673125809
menos,1.58891715849,1.90734624081
assim,1.56565831418,2.1271859461
três,1.54079953204,2.96444738924
segunda,1.49251867014,2.08686845174
entrevista,1.47104747159,1.67739351422
anos,1.44630027839,4.91571457583
possível,1.41690151295,1.88969247743
outubro,1.40562699945,1.76821542006
atual,1.40220282137,1.78682064303
meio,1.37298704799,2.82656856003
jogador,1.34777739113,4.68028023127
parte,1.31728029484,2.179732776
edição,1.30255726075,1.34126391536
setembro,1.25947900131,1.52926183233
série,1.22234099842,1.99140987396
país,1.22231052265,2.13062302069
city,1.2078097573,1.4274434691
equipes,1.2055577087,1.7582655151
faz,1.19724994061,1.30685958224
tanto,1.18422288109,1.34377707148
quarta,1.17584815383,3.00284722489
vai,1.16323913683,3.01190358314
gente,1.15128478826,1.47691429217
quase,1.14215790341,1.31775747838
jogos,1.13835447363,14.0184074837
data,1.13342663754,1.38301237739
real,1.12692603074,4.27962701698
europa,1.12505046508,1.51346298599
nada,1.11899557283,1.40162967657
presidente,1.11603962477,1.655631875
momento,1.10442757143,1.86808076851
próximo,1.09855222047,1.5426554769
américa,1.07161712101,1.12134991992
bastante,1.0625165712,1.46778307607
caso,1.05784370553,1.8529715666
chegar,1.04835943299,1.05370443881
dez,1.04552484124,1.54728679307
milhões,1.04453114554,2.36864290847
diferente,1.0437586221,1.28794304583
primeira,1.03742558039,2.87580869334
trabalho,1.01398349174,1.03919193327
história,1.00794517908,1.70357133897
league,1.00726122554,3.75349938375
desde,1.00200819754,1.67547953777
neste,0.996582645558,1.95089030972
passado,0.993064982639,1.49438620437
norte,0.98438355968,1.40000759982
chega,0.981569826756,1.93271757459
vezes,0.965686436032,1.66104357838
área,0.95979424484,2.12859744768
acordo,0.959388765726,1.61184386755
estar,0.958130281346,1.02359208442
mil,0.956294657917,2.67438462566
dá,0.931592991185,0.96455690368
então,0.926956893301,0.912363438092
problemas,0.912395534022,1.21402815455
fato,0.912004111583,0.932000114474
abaixo,0.899922609284,1.50719621513
henrique,0.892014951496,0.952313623483
boa,0.883500242099,1.35493150649
imprensa,0.880069912517,1.11915760667
internacional,0.874449197816,0.873139796412
meses,0.862884244143,1.00622684379
deu,0.853382368341,1.35933965713
nome,0.851131358691,0.904806937399
duas,0.849289962508,2.24847688731
hoje,0.845839153463,1.00284689783
mês,0.837309492911,1.09685830937
marca,0.832580191384,1.63425466257
maneira,0.82842102049,0.908159456194
cerca,0.825902835831,1.20808934431
nacional,0.825404388446,1.01820967881
qualquer,0.824602626368,1.61476244817
oficial,0.822709647439,1.38562166816
vida,0.821843781538,0.814676180455
aqui,0.813169269121,1.79147204724
sucesso,0.807172981004,1.26864496849
algo,0.80678046352,1.202500003
mario,0.787096438739,1.38989734026
clubes,0.778286754224,1.14336467193
evento,0.777056166644,2.39152043826
vem,0.776475891219,1.28843368532
presença,0.774249831429,0.880050292801
decisão,0.768373409728,1.44735579642
relação,0.754804782459,0.976611538605
única,0.752261976708,0.847491926486
tão,0.74613076581,1.12334079034
nova,0.745154944246,3.08765693943
desafio,0.731442538909,0.759196482236
partidas,0.719309073871,1.0120028489
lugar,0.717507419683,0.985890345281
local,0.712723716538,1.14575244602
problema,0.710530519965,0.793094103004
fase,0.708888078517,0.96341733675
junho,0.70884427267,1.28864679152
tv,0.705702791175,1.61709604569
segue,0.705069265915,0.838760362396
importante,0.697282485832,0.801844667131
ex,0.697005794417,1.64155721116
precisa,0.696427994353,1.17197822425
fim,0.688579573032,1.91502163193
grupo,0.687434032862,2.7649274719
anunciou,0.687234248942,1.71630866585
número,0.683027354304,0.826086101625
site,0.679505415465,2.47725142415
difícil,0.676277990148,0.716807016099
exemplo,0.671072123125,1.04696330729
pessoas,0.67013303472,2.5572955834
ambos,0.660398982903,0.697903116534
trabalhar,0.650042451822,0.6680255794
fez,0.64727488682,2.61110358594
irá,0.645084094854,0.729403380118
forte,0.644385058252,0.782432890834
motivo,0.640935037624,0.959459559637
apresentou,0.631888382237,0.764656694158
ficar,0.631764899738,1.45009430457
toque,0.628448026365,0.68083955862
melhores,0.626727759494,1.14849832127
revelou,0.624252609175,1.02562235283
espera,0.618482164365,1.02352566136
noite,0.616389610654,0.874977400122
arena,0.615352307254,3.02027939557
carioca,0.612390675631,0.626883607661
partir,0.610962950944,0.672593784358
frente,0.608865824889,1.38076539741
sp,0.604849343533,0.56680620852
fará,0.603029012413,0.781593118247
responsável,0.602369006634,1.17366280036
atenção,0.600201291244,0.734680951263
período,0.599396115485,0.644964969248
apoio,0.599223964817,0.781586435837
times,0.59921538848,1.33205732189
dezembro,0.594758466919,0.58398361478
português,0.592419431153,0.754596023129
semana,0.589172755482,1.15251247441
quer,0.588850882685,0.703595198562
início,0.583157227372,0.863615405228
principalmente,0.579467245167,0.668573056776
falta,0.578248967768,1.14632956726
distância,0.578177697568,0.523590854121
ajudar,0.575384462949,0.59812015409
volta,0.574695168874,1.31788524872
cartão,0.573366112352,0.653759972704
sequência,0.567875693837,0.666326861051
nba,0.567052350836,1.70179563753
aconteceu,0.564973435932,0.865168041389
brasileira,0.564326321669,0.732136247368
