word,V cluster value,tf norm value
imagem,1.0,1.06913648523
gold,1.0,0.397807375017
internet,1.0,0.812266919959
land,1.0,0.412880251395
of,1.0,6.66858864083
eua,1.0,1.1164157323
rede,1.0,0.547219977418
engine,1.0,0.399722831088
conta,1.0,2.40958508998
recursos,1.0,0.803986561275
aplicativo,1.0,0.507286223192
evento,1.0,2.39152043826
atual,1.0,1.78682064303
menos,1.0,1.90734624081
apenas,1.0,4.59242923649
super,1.0,1.98627762576
consoles,1.0,1.30651374934
qualquer,1.0,1.61476244817
bastante,1.0,1.46778307607
aparelho,1.0,0.436802974744
via,1.0,0.472538847565
quarta,1.0,3.00284722489
três,1.0,2.96444738924
kinect,1.0,0.468463584984
pessoas,1.0,2.5572955834
estúdio,1.0,1.65571896577
studios,1.0,1.25671895091
conteúdo,1.0,0.823555786716
controles,1.0,0.870245606613
controle,1.0,1.94460395871
fará,1.0,0.781593118247
apresentou,1.0,0.764656694158
apresentação,1.0,1.04224761355
afirma,1.0,0.705873097279
forma,1.0,2.0673125809
stanley,1.0,0.792017582974
contrast,1.0,0.535504147864
vita,1.0,0.705859505315
afirmou,1.0,2.39849152024
lançamento,1.0,2.57362895081
deluxe,1.0,0.545870875844
novos,1.0,1.4315988891
lançado,1.0,2.68510123945
luigi,1.0,0.685814450046
próximo,1.0,1.5426554769
ps,1.0,2.46754638865
demonstração,1.0,0.34681854665
psn,1.0,0.623887626654
conteúdos,1.0,0.45577944993
quatro,1.0,2.41344692675
versão,1.0,1.95832779588
tv,1.0,1.61709604569
jogador,1.0,4.68028023127
tempo,1.0,4.3141804196
detalhes,1.0,0.956703899435
jogar,1.0,2.80796312875
games,1.0,5.41506727974
aventura,1.0,0.553216413948
nova,1.0,3.08765693943
conferências,1.0,0.378858847678
conferência,1.0,1.29175578459
game,1.0,5.40202523592
américa,1.0,1.12134991992
nuvem,1.0,0.827243678627
ano,1.0,4.75079310834
gaikai,1.0,0.349042547896
tela,1.0,0.618822086352
novembro,1.0,1.29185783105
usuários,1.0,0.91837269608
diablo,1.0,0.390281678652
dia,1.0,5.32093077415
usando,1.0,0.727450829832
tecnologia,1.0,1.27204760528
usmonetáriointerno,1.0,2.62675989352
jogadores,1.0,4.30228612023
chega,1.0,1.93271757459
franquia,1.0,0.692244982662
jetpack,1.0,0.571770708329
anúncio,1.0,0.897701116264
geração,1.0,0.746026074762
anunciou,1.0,1.71630866585
network,1.0,0.825294662326
desenvolvedores,1.0,0.878914186533
new,1.0,1.51447469942
título,1.0,4.31037511355
mario,1.0,1.38989734026
exclusiva,1.0,0.609400434374
títulos,1.0,1.32035646571
exclusivo,1.0,0.469786851264
executivo,1.0,1.31299292066
além,1.0,3.65357593645
sworcery,1.0,0.488912117085
vem,1.0,1.28843368532
sword,1.0,0.488912117085
anunciado,1.0,0.654258946873
exemplo,1.0,1.04696330729
empresa,1.0,1.89752592837
série,1.0,1.99140987396
anuncia,1.0,0.991112805973
the,1.0,4.10855529243
second,1.0,0.529086287438
plus,1.0,0.932795199216
retrocompatibilidade,1.0,0.534440008085
acesso,1.0,0.909423656557
sistema,1.0,1.25692716736
criadores,1.0,1.05336797773
youtube,1.0,0.515218109125
data,1.0,1.38301237739
possui,1.0,0.901001323577
trailer,1.0,1.62151478079
feira,1.0,6.63423662207
world,1.0,1.16506836627
mundo,1.0,3.30879150899
online,1.0,1.50827909898
smartphones,1.0,0.380793577182
onde,1.0,1.572843532
produtora,1.0,0.708680266637
acontece,1.0,0.954371302803
multiplayer,1.0,1.17173750492
infamous,1.0,0.624002087014
mil,1.0,2.67438462566
possível,1.0,1.88969247743
acessar,1.0,0.343580867638
brasil,1.0,4.75295749281
download,1.0,0.532457225649
coletiva,1.0,0.642859445945
abaixo,1.0,1.50719621513
bros,1.0,0.6559482354
show,1.0,1.11437074992
iii,1.0,0.489394990388
monetáriointerno,1.0,4.81840908599
momento,1.0,1.86808076851
dois,1.0,4.46835594418
setembro,1.0,1.52926183233
serviço,1.0,0.611615109099
toque,1.0,0.68083955862
assinatura,1.0,0.524974029184
imprensa,1.0,1.11915760667
lista,1.0,1.35641486138
filmes,1.0,0.471637982834
live,1.0,1.4846604526
preço,1.0,1.34099782111
durante,1.0,3.25896696005
ds,1.0,0.816962060921
pc,1.0,0.958334650684
arena,1.0,3.02027939557
disponíveis,1.0,0.493522508805
segundo,1.0,4.64121947369
son,1.0,0.529086287438
disponível,1.0,0.967459456642
sonic,1.0,0.873780933872
vídeo,1.0,1.38886828875
voz,1.0,0.534864860894
promete,1.0,0.649204086794
lost,1.0,0.593458182042
halo,1.0,0.66762101127
segunda,1.0,2.08686845174
deep,1.0,0.44769735228
meses,1.0,1.00622684379
poderão,1.0,0.597519821376
microsoft,1.0,2.27360974308
companhia,1.0,1.93862702659
latina,1.0,0.549515641733
traz,1.0,1.49522006698
transmissão,1.0,0.56615548696
oficial,1.0,1.38562166816
eficiência,0.0,0.076544548035
dourada,0.0,0.158256774194
eis,0.0,0.0941765471576
el,0.0,0.0517578160265
década,0.0,0.0630528639618
eficientes,0.0,0.0499447788355
electronic,0.0,0.604217202679
eleito,0.0,0.152320895711
elemento,0.0,0.0809966417187
double,0.0,0.328883955429
elementos,0.0,0.169376211224
elenco,0.0,0.649160395082
débito,0.0,0.205602867272
dúvida,0.0,0.200189310773
eliminada,0.0,0.0710717559958
dores,0.0,0.270735809025
dão,0.0,0.227153862179
domínio,0.0,0.187330034525
dono,0.0,0.391785176958
donos,0.0,0.212991157336
dúvidas,0.0,0.226118307711
dominância,0.0,0.0700862554083
eliminar,0.0,0.304578578942
eletrônico,0.0,0.235120580411
