word,V cluster 0 value,V cluster 1 value,tf norm value
of,0.0717638578618,5.79936658361,3.44276503519
league,2.28266192086e-24,4.32280307865,2.87449080261
legends,2.12316642719e-33,4.28481307777,2.87449080261
personagens,0.225381163764,1.32248734024,0.924459259724
riot,1.69347727936e-25,1.49326731098,0.860873729451
games,4.03979737147,1.17938511064,0.627269494193
jogadores,4.1802252545,0.487558805196,0.537470823541
brasil,3.93566269372,0.689588317028,0.532893869374
game,5.00866710716,0.711428335873,0.519443722384
jogo,19.3527267394,1.87040747251e-05,0.466715596016
internacional,0.222644822546,0.591851635421,0.463425978424
segundo,4.18209501695,0.335632274021,0.433124298149
final,4.34828341839,0.313408294338,0.404494962627
desafio,0.260446946096,0.45034133851,0.365578286034
time,5.00674944051,0.111621677805,0.356693815259
temporada,2.49492117547,0.278320209837,0.35473394334
público,0.989515542722,0.505442957967,0.344167696829
cnb,7.33575108626e-40,0.399370180311,0.313660872869
american,1.57463354417e-42,0.453841085006,0.302258792403
express,1.14875519701e-42,0.453841085006,0.302258792403
milhões,1.68779444263,0.256910231326,0.296086552958
servidor,1.22735309815e-23,0.408939934446,0.289807681748
maior,2.14106603093,0.357078521244,0.286394734842
cartões,0.309962906073,0.37025631986,0.272367355351
campeonato,3.19917468066,0.0919783086263,0.269953391514
horas,0.927603815988,0.325924262511,0.263262095056
corpo,0.201995509548,0.326499074854,0.244883980922
world,0.678114248516,0.330014231984,0.24385891083
outubro,1.31151386297,0.262199637816,0.232090625721
videogames,1.35421820917,0.298070628482,0.216279248498
artigo,0.168776997492,0.298703955624,0.216279248498
jogam,0.0159557919846,0.286462450847,0.216279248498
sports,5.24771358907e-14,0.274428172024,0.211566796714
thrones,9.8663475426e-25,0.349344395211,0.210912270305
gaming,3.96633971276e-11,0.270892384273,0.20766965266
brasileiro,4.38930985302,4.64107023359e-05,0.205741411406
cartão,0.369371669413,0.275946343546,0.205602867272
débito,5.92899942319e-43,0.305689056195,0.205602867272
xfire,1.22529321764e-42,0.302236330882,0.204908953959
mundial,0.816231719808,0.247038336642,0.204403875192
espectadores,2.17197732831e-22,0.271241117788,0.204403875192
torneio,1.99575295791,0.121931854099,0.204254556302
assim,1.73818466609,0.264305933221,0.202370370081
além,3.26154453813,0.0929464401425,0.201155398325
acordo,1.05988880207,0.316535505079,0.201029283933
times,0.882093122913,0.308515737354,0.200341432571
equipe,5.55833915879,8.9052424836e-19,0.197785374666
campeões,1.58095663835,0.16089994206,0.196913753703
ano,4.29161837095,0.0741962269436,0.189530370155
conheça,0.433790477047,0.27396441477,0.186617053644
mundo,3.00768427503,0.135006329817,0.185505769733
jogos,15.6353496953,1.54556249408e-23,0.182949711828
site,2.03371860137,0.183260008418,0.180621169226
cerca,0.856454907483,0.187881266906,0.179052567775
parte,1.97647960691,0.162340924539,0.178600982194
demais,0.308043215041,0.230916682087,0.17063393497
uso,0.506976526608,0.18617018338,0.167443671656
mulheres,0.268530463875,0.264121830825,0.167443671656
femininas,3.40834426132e-10,0.238193303885,0.167443671656
considerado,0.0526574351594,0.218788240818,0.165702921481
usmonetáriointerno,2.3011921891,0.178845342734,0.162621085157
milhão,0.150822945496,0.194674916547,0.162221421131
prêmio,0.478022585455,0.182814716655,0.160065027252
equipes,1.46556764766,0.0884907404462,0.160065027252
partida,4.03762862007,2.42562574374e-17,0.160065027252
vence,0.695399993106,0.143166851531,0.157908633374
club,0.275916188317,0.177776406029,0.157908633374
monetáriointerno,4.20360363283,8.70711420166e-05,0.155752239495
mil,2.4055484918,0.153914025337,0.155752239495
taxa,3.25142727656e-31,0.232027568968,0.154880618532
países,0.208970306572,0.199135298578,0.153662249608
irá,0.502929758308,0.212628938075,0.150980077311
empresa,1.43680388098,0.291446854541,0.150980077311
esports,7.30371561727e-38,0.203827128443,0.150330068148
oficiais,0.188918775799,0.188203148069,0.14003014645
américa,1.0139813355,0.103474823053,0.131559419058
jogado,0.0705713765298,0.186077132613,0.129691212515
lugar,0.890058056904,0.112188564605,0.12713515461
total,0.176782882371,0.173385371595,0.12713515461
entrevista,1.31467951666,0.162870522503,0.126248724403
ganhará,0.117903431781,0.164144128279,0.121675141064
apenas,4.51116813321,1.45033620722e-08,0.118362160526
fato,0.786399708974,0.127289042266,0.117250876615
distância,0.451807955047,0.137050884431,0.116160463899
online,1.3898763782,0.083490281828,0.113937896078
dados,0.280946684921,0.144838141735,0.112826612167
leis,7.77953447462e-28,0.149691212076,0.111629114437
completamente,0.217840222021,0.13534249728,0.111629114437
comunidade,0.298507673745,0.171939367657,0.111629114437
regra,0.00500635295167,0.149336639124,0.111629114437
partes,0.0899141227685,0.143598301822,0.111629114437
país,1.78422834766,0.0811989024506,0.109888364262
partidas,0.827402217988,0.103680323138,0.109888364262
receber,0.600281779192,0.118179861827,0.108946942141
atrair,0.00028690392155,0.164100862082,0.108946942141
unidos,0.405368169661,0.119221745171,0.108547278114
estados,0.422287961715,0.118029541947,0.108547278114
queremos,0.096085902991,0.126788911473,0.108147614087
audiência,0.0661671567661,0.133348419446,0.108147614087
segunda,2.09401566921,0.00516230465882,0.108147614087
fãs,0.218636994178,0.119969950872,0.108147614087
aconteceu,0.743204020786,0.0806258943751,0.108147614087
única,0.790808880297,0.0834260130467,0.107731970384
campeão,2.6305598578,2.04539651153e-16,0.105991220209
casa,3.20352172774,1.11215486464e-22,0.105991220209
entender,0.30936816427,0.13237375283,0.105991220209
sagrou,0.0441732190449,0.130353821918,0.105991220209
executivo,0.720441127876,0.404064650856,0.105991220209
importa,0.0440098430633,0.134966186215,0.105991220209
esport,3.61436003931e-39,0.133651481392,0.105991220209
bgs,0.343366941545,0.111083062559,0.105991220209
levou,0.588601454822,0.0846244533272,0.10383482633
campeonatos,0.374922796168,0.114996432586,0.0979970112796
lança,0.238657760243,0.133598526934,0.0966559251312
usuário,0.221479485985,0.11961655761,0.0965066062412
itens,0.526561938816,0.108197524596,0.0965066062412
entretanto,0.341536926656,0.11450983004,0.0965066062412
bate,0.395705484682,0.104256758747,0.0962562611045
oficial,1.17936719728,0.121653633913,0.0962562611045
recorde,0.646029056597,0.0835952711205,0.0962562611045
assistido,7.89248424246e-39,0.126015146339,0.0961069422145
acontecerá,0.194625649843,0.110437815187,0.0961069422145
diferente,1.04410377588,0.0620781648182,0.0945347118517
menos,1.80481270611,0.0898674469755,0.0945347118517
estratégias,1.85245320344e-08,0.13509805466,0.0945347118517
latina,0.454097766865,0.0907899523548,0.093950548336
terem,1.10031672825e-42,0.130565520517,0.0934234279408
indústria,1.41829765625,0.251959847511,0.0934234279408
lançar,0.235349033824,0.151933933802,0.0931936257034
melhor,3.81526278733,1.05101279239e-16,0.0927939616767
levando,0.430502675184,0.0937379454238,0.0927939616767
números,0.266321769776,0.106427876789,0.0916826777658
representam,4.39452659972e-16,0.123236023091,0.0916826777658
tanto,1.27717693988,0.0571743086619,0.0916826777658
ficou,1.1550372295,0.029050303317,0.0895262838873
estreia,0.942725345166,0.0612878399856,0.0843649081219
série,1.88119538712,0.060137437561,0.0843649081219
campanha,0.624570659852,0.140149300198,0.0843649081219
quarta,2.87981185012,4.92111630564e-22,0.0843649081219
busca,0.382058729486,0.110770090187,0.0842155892319
torneios,0.202857235743,0.111745924718,0.0842155892319
planos,0.179252133563,0.106529216646,0.0840662703418
aberto,0.0927699144465,0.110215773174,0.0840662703418
mencionado,2.87109331892e-06,0.117828497722,0.0840662703418
fóruns,0.00249584497524,0.123764255876,0.0840662703418
rumor,0.063443571866,0.112635829421,0.0840662703418
brasileiros,1.79373083767,0.00943238699887,0.0840662703418
haverá,0.137456655829,0.119413716694,0.0840662703418
entanto,0.835469270244,0.0588498330212,0.0840662703418
contas,0.344034755123,0.0987631081612,0.0840662703418
oferecer,0.246379616652,0.0975400956013,0.0840662703418
português,0.71150757835,0.0769021353632,0.0840662703418
vídeo,1.15194851633,0.0597622306118,0.0840662703418
três,2.94160273515,9.08670294086e-10,0.0809026086941
podem,1.32826546429,0.0350964408957,0.0809026086941
vinda,2.56359584275e-20,0.125447896746,0.080753289804
arena,2.64264683384,1.02544350313e-13,0.080753289804
serem,0.099135254739,0.11130569333,0.080753289804
opções,3.23396923182e-43,0.116766010359,0.080753289804
eua,0.9691941336,0.110945281487,0.0796420058931
servidores,0.103851669212,0.177165139445,0.0796420058931
especialistas,0.0524218848066,0.111900073876,0.0774403092662
batalha,0.357416526489,0.145730626331,0.0774403092662
quatro,2.50305568628,1.04958590479e-19,0.0774403092662
campo,1.86166195746,1.43605229074e-17,0.0774403092662
metade,0.297238493092,0.0939598633696,0.0763290253553
período,0.517768665088,0.0798837355365,0.0752177414445
adquiridas,5.2395456506e-19,0.111864058372,0.0752177414445
jogadas,0.107161016092,0.103161395832,0.0752177414445
europa,1.47453593301,0.0511349587649,0.0752177414445
jogados,0.180099616354,0.0980798586585,0.0752177414445
jogando,0.684073366521,0.0571039537844,0.0752177414445
bilhões,0.599401321262,0.0792239562944,0.0752177414445
forbes,0.0309207882443,0.109452634843,0.0752177414445
rostos,0.0523638414201,0.0705746526043,0.0558145572186
rosto,0.105254734493,0.0746444455731,0.0558145572186
festival,1.24973260014,0.0398575344934,0.0558145572186
sexismo,0.290270641143,0.107188973073,0.0558145572186
quase,1.20603989347,3.59943048762e-06,0.0558145572186
evidência,0.0198378742507,0.0732417803252,0.0558145572186
devido,0.529408818858,0.0382618626438,0.0558145572186
lei,0.142168904015,0.0698388880266,0.0558145572186
evento,2.09641180515,0.0112383814081,0.0558145572186
metal,0.0212359267355,0.103931806043,0.0558145572186
exceção,0.0849214145739,0.0678731152111,0.0558145572186
populares,0.0112143808063,0.0739527426979,0.0558145572186
qualquer,1.70804815902,2.79959391899e-16,0.0558145572186
injusto,0.0396070776934,0.0801931971111,0.0558145572186
pés,0.2242219847,0.0594127506864,0.0558145572186
vive,0.121537850883,0.0648484345002,0.0558145572186
gigante,0.198512498146,0.0584948438351,0.0558145572186
acontecer,0.344513886059,0.0517746198893,0.0558145572186
equilíbrio,0.192914014437,0.0589570662966,0.0558145572186
aparentemente,0.340180509051,0.0708110132352,0.0558145572186
estabelecida,5.06449232009e-16,0.074803643178,0.0558145572186
homem,0.524432518561,0.0889641575292,0.0558145572186
obrigando,7.59670105592e-08,0.0748493652659,0.0558145572186
males,0.0448594897028,0.0874780717927,0.0558145572186
voz,0.405936809011,0.0482211920889,0.0558145572186
adaptar,0.044735311691,0.0711875006168,0.0558145572186
cuja,0.173519114544,0.0618186385734,0.0558145572186
pássaro,0.14108570771,0.0632351169291,0.0558145572186
feminina,0.0758402343786,0.0873172983411,0.0558145572186
especificamente,1.17809351464e-18,0.0753042568605,0.0558145572186
desejo,0.0423316694477,0.0719055200388,0.0558145572186
despertar,0.085951224968,0.0703060047667,0.0558145572186
possa,0.199698538503,0.0586011893958,0.0558145572186
existe,0.333675981549,0.079391779016,0.0558145572186
claro,0.684907619268,0.0291837994626,0.0558145572186
atividade,0.0499642021653,0.0707559626954,0.0558145572186
redor,0.306101863062,0.070676717126,0.0558145572186
mãos,0.567155090895,0.0341297400552,0.0558145572186
motivos,0.393933811219,0.0874792926371,0.0558145572186
motivo,0.630476029853,0.142490399198,0.0558145572186
competições,0.148040540155,0.0626611572455,0.0558145572186
tal,0.525213405433,0.0538221189499,0.0558145572186
incluindo,0.437588601826,0.0481801333161,0.0558145572186
médio,0.142809543202,0.0630928250244,0.0558145572186
abaixo,1.12835034415,0.000275506065425,0.0558145572186
faz,1.30907918199,6.67138240185e-13,0.0558145572186
gênero,0.215432929337,0.075429746854,0.0558145572186
parece,0.804426234566,0.0679007975756,0.0558145572186
razão,0.0930802260109,0.0671973217819,0.0558145572186
organizadores,0.283115740853,0.0674680559093,0.0558145572186
revolta,0.00733874761491,0.0742725273117,0.0558145572186
perfil,5.37349605908e-23,0.114104652285,0.0544734710703
base,0.416632259664,0.07413812647,0.0544734710703
linha,0.387760972933,0.048642261206,0.0544734710703
gastar,3.34000816112e-13,0.0789080094716,0.0544734710703
tão,1.19538777623,2.42637416445e-06,0.0544734710703
registrar,0.0499797892995,0.0748347078722,0.0544734710703
instalada,0.0306149985882,0.0764349754928,0.0544734710703
belos,0.0229058458998,0.0770687692835,0.0544734710703
jornal,0.526645432232,0.0354878951359,0.0544734710703
união,4.93916575509e-19,0.0790625933285,0.0544734710703
new,1.22820049811,0.0397521958692,0.0544734710703
diferenciado,0.0410938782154,0.0757724334019,0.0544734710703
fique,0.140038052138,0.0676085338472,0.0544734710703
pré,0.412939774168,0.0498004900746,0.0544734710703
pagos,0.100469057521,0.0706678558941,0.0544734710703
fechado,0.0621704622503,0.0738287324741,0.0544734710703
aposta,0.400427816079,0.0459087528212,0.0544734710703
lançados,0.135292081135,0.121807729248,0.0544734710703
enorme,0.0393839058593,0.0760492754109,0.0544734710703
york,0.266335175818,0.0597108960386,0.0544734710703
points,0.0718983364169,0.0730259011874,0.0544734710703
úteis,0.0469070085572,0.0760257217057,0.0544734710703
executivos,3.32619420697e-19,0.0801647802795,0.0544734710703
cara,0.937952177074,0.000488725847269,0.0544734710703
cliente,0.005527067515,0.0785011732426,0.0544734710703
pontos,2.46935858667,1.46425363573e-39,0.0544734710703
pessoais,0.0738268176638,0.0741267087018,0.0544734710703
compras,0.0615010835048,0.0738838759142,0.0544734710703
novos,1.24962387697,0.0808291232477,0.0544734710703
oportunidade,0.898159389391,0.0206152201998,0.0544734710703
imagem,0.950076279163,0.026909754255,0.0544734710703
quer,0.711758396128,0.0250406048513,0.0544734710703
personalizar,0.0763428825127,0.0726589252333,0.0544734710703
jovens,0.343431482387,0.0569712297454,0.0544734710703
terça,0.818584281916,0.00511408063768,0.0540738070436
feira,6.07173171202,8.43601036208e-54,0.0540738070436
continuar,0.23355787433,0.0495507123031,0.0540738070436
assistindo,0.0797635501993,0.0612964680387,0.0540738070436
acompanhando,0.0349334276871,0.0675167910835,0.0540738070436
acesse,0.139986748251,0.0558227083174,0.0540738070436
coreia,0.0425361260848,0.0638489213711,0.0540738070436
pessoas,2.78113833016,1.14842546568e-29,0.0540738070436
contou,0.273860347819,0.0511169431933,0.0540738070436
simultaneamente,0.243688071865,0.0567466857456,0.0540738070436
los,0.732611332872,0.0143747731924,0.0540738070436
dia,5.07335915865,3.48601629221e-23,0.0540738070436
bateu,0.965920483757,2.48620775384e-11,0.0540738070436
ótimas,0.0125620408086,0.0663226853619,0.0540738070436
gerente,0.239008843783,0.0514210586608,0.0540738070436
estádio,1.25179664406,2.45285796989e-21,0.0540738070436
experiências,0.214085880514,0.056229777255,0.0540738070436
taça,0.227423432459,0.0485920441311,0.0540738070436
sul,0.443873373278,0.0309340068682,0.0540738070436
centro,0.221404225333,0.0496567780451,0.0540738070436
center,0.115285589345,0.0578454165775,0.0540738070436
afirma,0.631157645046,0.0212185745133,0.0540738070436
participantes,0.32720012838,0.0532428581296,0.0540738070436
crescimento,0.233284565793,0.053740155681,0.0540738070436
recordes,0.0470505220846,0.0634763827894,0.0540738070436
concedeu,0.0956771780377,0.0594636645478,0.0540738070436
número,0.71737102852,0.0554017258379,0.0540738070436
bruno,0.57357719275,0.0200307231107,0.0540738070436
angeles,0.116046903424,0.0581231493292,0.0540738070436
divulgou,0.17788503279,0.0646852817779,0.0540738070436
embate,0.0785887482852,0.0608738439769,0.0540738070436
acabou,1.180776688,1.06578658456e-07,0.0540738070436
promover,0.0342009805969,0.0676102153506,0.0540738070436
colocando,0.099198355961,0.0584072851704,0.0519174131651
durante,3.07654041673,1.96612407599e-19,0.0519174131651
premiação,0.540011276822,0.0555087853341,0.0519174131651
participaram,0.135887125196,0.0553804676038,0.0519174131651
experiência,0.843136801561,0.020498368597,0.0519174131651
apoio,0.650137695558,0.0330989923968,0.0519174131651
campeã,0.432601838661,0.0311090012113,0.0519174131651
suporte,0.209179286043,0.0493338603255,0.0519174131651
ótimo,0.295395416674,0.0502649071444,0.0519174131651
competir,0.022066715248,0.0678110069329,0.0519174131651
leonardo,0.401982898101,0.0334311986112,0.0519174131651
acontece,0.947834784157,0.00944044880833,0.0519174131651
fundamental,0.106327453229,0.0578191527588,0.0519174131651
nível,0.52849956891,0.0264906233499,0.0519174131651
jogador,4.3587845406,1.11231646213e-39,0.0519174131651
veio,0.374195729759,0.0390163795287,0.0519174131651
paulo,4.1686529716,1.39986127489e-08,0.0519174131651
