word,V cluster 0 value,tf norm value
minutos,6.0219654876,4.59140755144
time,5.56443795011,5.21085736446
gol,5.44564709792,3.91517632453
equipe,5.43591353655,5.38402375813
feira,5.0468342517,6.63423662207
real,4.8959571162,4.27962701698
final,4.45302276018,4.9373205725
partida,4.35378666593,3.73445248798
anos,4.33175831968,4.91571457583
jogador,4.29710639867,4.68028023127
técnico,4.00316589002,3.56462451803
bola,4.00275093828,2.91680857213
breno,3.72058594244,3.34439260137
madrid,3.71996290024,2.75754288117
tempo,3.71033144923,4.3141804196
segundo,3.6439592259,4.64121947369
brasileiro,3.63295121434,4.87632646275
gols,3.62339025999,2.69286933272
espanha,3.61766825663,2.9656773629
paulo,3.59209003717,4.23639183759
casa,3.5807565964,3.40081430181
barcelona,3.57183286696,2.79061228958
campeonato,3.54549201074,3.42909922129
clube,3.53009271783,3.15377741762
dois,3.49856164701,4.46835594418
euro,3.38295209229,3.4981714608
atacante,3.37084143631,2.88981319147
vitória,3.19991256454,3.13423114506
espanhol,3.09922458064,2.41562175014
título,3.07270699814,4.31037511355
futebol,2.9961265318,3.301483074
temporada,2.89650896291,2.8250591232
campeão,2.80742519866,3.27410639528
grupo,2.76858412649,2.7649274719
pontos,2.7187355364,2.27903941545
quarta,2.69409834604,3.00284722489
liga,2.68267719919,2.53157804296
fez,2.66620608974,2.61110358594
torcedores,2.66572872869,2.83342620539
bayern,2.62884382597,2.19845209453
seleção,2.61533127054,2.6180042938
alemanha,2.59595633623,2.34179717313
dia,2.56541330706,5.32093077415
vai,2.52343263691,3.01190358314
três,2.46491366467,2.96444738924
jogo,2.46034446107,17.409134665
messi,2.44619360326,1.74789023524
munique,2.44394062708,2.10275852657
primeira,2.43972818504,2.87580869334
área,2.43558283814,2.12859744768
notícia,2.28992542313,2.34518400098
comente,2.26147252744,2.33907203032
ronaldo,2.21261056496,1.5086905886
deixe,2.20476286142,2.16156875952
ufc,2.18540878353,3.87983449441
guardiola,2.17991728351,1.81756412301
campo,2.15871603806,1.83184225111
torneio,2.14026043398,2.52315652071
monetáriointerno,2.12594621178,4.81840908599
sábado,2.12370072182,2.06620034769
rodada,2.12084147906,2.09844051485
defesa,2.11777341468,1.53882235291
ano,2.11452298506,4.75079310834
duas,2.07313965956,2.24847688731
meio,2.07159872252,2.82656856003
competição,2.07152960591,2.05481368611
itália,2.05296375035,1.51631925379
jogadores,2.04672267472,4.30228612023
zagueiro,2.03649618722,1.666667781
bem,2.01480056726,3.10801094029
recado,2.01361288523,1.92546531966
copa,2.00433595657,1.77644457533
chegou,1.96592300309,1.79053389634
cristiano,1.96545549872,1.37920801831
campeões,1.91114565245,1.68145607504
melhor,1.86939477366,4.04988727448
placar,1.86515852051,1.46116751181
quatro,1.85665546753,2.41344692675
marcou,1.7586151776,1.32220399532
confira,1.75040481742,2.34917808533
atleta,1.74403415229,1.84469966099
milhões,1.73174345177,2.36864290847
chance,1.70853040281,1.51339549379
fim,1.68847815196,1.91502163193
atlético,1.6500192282,1.33512941856
meia,1.62619679884,1.29533757942
segunda,1.60828635846,2.08686845174
duelo,1.60465710677,1.50055422439
goleiro,1.59953101444,1.26493364393
torcida,1.56738725571,1.41509273528
neste,1.56014723112,1.95089030972
apenas,1.53279906253,4.59242923649
recebeu,1.51677791917,1.44439424932
logo,1.502207046,1.39549395
marca,1.49890787413,1.63425466257
estádio,1.49197951052,1.15845870874
argentino,1.48674868706,1.21561454948
chances,1.4850372074,1.31682876095
rio,1.48099478826,2.14572051893
ataque,1.45832872012,1.05764234031
país,1.44331665353,2.13062302069
afirmou,1.43929744566,2.39849152024
perdeu,1.43390043479,1.40080111144
portugal,1.43373382978,1.15259265108
polônia,1.41597921269,1.35457112127
passou,1.40098525536,1.25941177094
corinthians,1.37174195385,1.4318599865
próxima,1.36639437123,1.46403398634
adversário,1.36433702589,1.33639687875
maior,1.35712595245,2.46204157517
eliminatórias,1.3565344377,1.15430289699
árbitro,1.33649308088,1.27722359766
frente,1.33301113223,1.38076539741
inglês,1.3313434383,1.48853476236
mundo,1.33034484931,3.30879150899
vezes,1.32046639656,1.66104357838
quinta,1.30867888998,1.43675534573
cinco,1.30002742222,1.22143794555
resultado,1.28522171986,1.22373105365
durante,1.27707262388,3.25896696005
ex,1.27578935946,1.64155721116
momento,1.26202467857,1.86808076851
jogar,1.26128469051,2.80796312875
acabou,1.25678310911,1.29971815175
conseguiu,1.2531880529,1.05727974402
treinador,1.25105159858,1.23992216472
lesão,1.243638793,1.42526313009
ficar,1.24354202479,1.45009430457
história,1.24266860646,1.70357133897
empate,1.24084162065,0.973060775729
ficou,1.24008479962,1.14806484749
brasileirão,1.23660654073,1.20135111876
brasília,1.22502400449,1.12045948556
esquerda,1.19762982319,0.952176839973
eurocopa,1.18597818772,1.0764284685
desde,1.18203461176,1.67547953777
nba,1.17886720549,1.70179563753
inglaterra,1.15220275575,1.03577944571
conquista,1.14014286224,1.09155276358
deixou,1.14010837995,1.17002911364
conta,1.13546146727,2.40958508998
lado,1.13136374126,1.31733746632
bateu,1.12908673516,0.905041453497
principal,1.12045773171,1.37877209414
derrota,1.11107220596,1.03171525729
santos,1.10877423178,1.08655608931
caso,1.09486368234,1.8529715666
casillas,1.09196427729,0.729488796146
silva,1.08362662186,1.33428890138
boa,1.08104459214,1.35493150649
flamengo,1.08074622995,0.991778089951
volta,1.07509567876,1.31788524872
venceu,1.07448805061,1.13849745601
aldo,1.06716358124,1.6600459664
europa,1.06295703049,1.51346298599
josé,1.05830102948,1.4375808195
times,1.05424771517,1.33205732189
clássico,1.04635189349,1.01844508683
cara,1.04070644094,0.925179597292
equipes,1.03873274999,1.7582655151
chelsea,1.03869021512,0.969108033753
mg,1.03153266419,0.98327276681
pênaltis,1.0245601869,0.89743702228
voltou,1.01467243391,0.99454583158
deu,1.00234251896,1.35933965713
próximo,0.997439912759,1.5426554769
chutou,0.990137780698,0.671474114211
horário,0.976661519352,0.866849949354
domingo,0.973981135597,0.928393334169
incêndio,0.97266078553,0.860493745566
cavaliers,0.969573603825,1.08312520005
frança,0.968180042887,0.95542966429
saída,0.968165200793,1.22076502709
classificação,0.966991909483,0.915601660082
holanda,0.964908259483,0.880027476352
camisa,0.964012536626,0.853020598036
vence,0.963180814105,1.0265703935
bilbao,0.962870136857,0.65911363691
portuguesa,0.950580119786,0.7569128494
cima,0.940185470023,0.6801442668
david,0.93863615646,0.878304689376
contrato,0.937400058843,0.929718496685
falta,0.931875107756,1.14632956726
artilheiro,0.928580090376,0.703227444938
barça,0.928096676887,0.733329171844
rei,0.926204064298,0.64511191662
athletic,0.925591575988,0.625919650966
cruzamento,0.918608713107,0.652845736665
mundial,0.91682233688,1.15029559411
local,0.912069958089,1.14575244602
francês,0.909897004169,0.951447863591
deixar,0.905437671406,0.882160938791
julgamento,0.904389845232,0.839836699457
sexta,0.897040176974,1.11364463977
dar,0.896841949721,1.06163128201
cruz,0.893928422522,0.957735989613
outubro,0.888540746584,1.76821542006
lebron,0.884989173506,1.0258775455
decisão,0.879774848449,1.44735579642
estreia,0.877523569874,1.06057788568
palmeiras,0.876351932809,0.762200403223
botafogo,0.873341775969,0.782070442055
atletas,0.871478499123,1.00743717288
alemã,0.868826171415,0.816627808284
europeu,0.866360197587,0.818554426104
irlanda,0.864860390055,0.725632569366
disputa,0.864781518882,0.91332766438
oportunidade,0.863421471808,1.06707594615
joão,0.863257095894,0.816313016129
passado,0.860056059585,1.49438620437
cruzeiro,0.856090257644,0.717280265293
belfort,0.851536076708,1.47534264153
sergio,0.848738261871,0.653802334136
etapa,0.84644786119,0.750650201837
dias,0.846148093906,1.8005169387
dentro,0.845250115543,1.84299175991
atual,0.843524624185,1.78682064303
pênalti,0.833280117618,0.651110774892
artilharia,0.831575433191,0.669287812052
cinturão,0.827986524897,1.33854908097
semana,0.827312610674,1.15251247441
libertadores,0.827016157545,0.813098715301
saiu,0.825639958709,0.58945944843
clubes,0.825263209745,1.14336467193
redes,0.819785169829,0.878179747882
entanto,0.818712017194,0.980735378703
novamente,0.816087958713,0.704280081474
seleções,0.814858787632,1.11831510555
madri,0.814385190281,0.543984960914
vaga,0.811491011694,0.822962104543
ramos,0.80817819811,0.644271662865
começou,0.805998318814,0.97701222021
direita,0.800772088836,0.58460716536
espera,0.800751238232,1.02352566136
recorde,0.800178458141,0.624284272686
grêmio,0.797741399908,0.668832478187
alemão,0.792279585024,0.703624412933
prisão,0.790768653746,0.749090475324
rodadas,0.789431380509,0.777091869336
fluminense,0.788404159929,0.749335622075
posição,0.78732501036,0.798582551857
americano,0.783637777882,1.15662517796
united,0.783014957334,0.865460146362
cobrança,0.7810917454,0.605065314614
marcelo,0.77971558034,0.588081912605
bom,0.778302191981,0.901685046694
cruzou,0.775333374574,0.549822998579
vencer,0.773343175286,0.675960206561
terça,0.77320531931,1.08652362967
manchester,0.771498557856,0.89499617971
terceira,0.77113812566,0.929396049736
técnica,0.769901593836,0.791600002603
esquerdo,0.765152294485,0.651365168984
espanhola,0.763743524968,0.528097896531
eliminação,0.763499859083,0.668606385737
coritiba,0.763408536999,0.652899989048
cerca,0.763014302697,1.20808934431
lugar,0.762014448727,0.985890345281
luta,0.757812981848,1.29955925782
marcado,0.754791268715,0.892618695139
presidente,0.75356381835,1.655631875
jones,0.747210940127,1.26750630059
robben,0.743058291311,0.62027940169
junho,0.742988094573,1.28864679152
treino,0.74292411586,0.78213181516
jogada,0.735552857884,0.514993094488
justiça,0.735268562029,0.667102794578
semifinais,0.734612598375,0.603050845586
árbitros,0.734303451249,1.10024610146
janeiro,0.733659408166,0.96865506978
tabela,0.733473186131,0.84730614384
ucrânia,0.732803869181,0.913929173483
perto,0.731460765892,0.827853331667
setembro,0.731277944566,1.52926183233
disputada,0.727727927771,0.559234752254
rebaixamento,0.726966760275,0.578082751886
luis,0.721883069787,0.855823986831
entrevista,0.719925327378,1.67739351422
direito,0.716622414321,1.0216704826
marcação,0.710926819659,0.491770503068
renan,0.708293001115,0.889024737333
heat,0.708168054022,0.984955457179
barão,0.707711471028,1.03163887582
apesar,0.707440820642,2.15949278802
início,0.704166952197,0.863615405228
aproveitou,0.699756661252,0.702053161635
faz,0.698382893396,1.30685958224
vantagem,0.696634772443,0.761761974004
voltar,0.693191375442,0.855779743258
alves,0.689703461075,0.928988075592
entrada,0.688752481152,0.705718599806
tentou,0.6883101681,0.532520332299
san,0.684988040949,0.575395815738
seis,0.683926763588,0.915170175137
fase,0.680289098256,0.96341733675
catalão,0.680241553422,0.56362150021
perigo,0.675908628417,0.549397987664
jon,0.674869697432,1.12079742434
diego,0.674341350334,0.469211309918
di,0.673249800064,0.533800586844
quase,0.672694775225,1.31775747838
colocado,0.672492700607,0.692058064281
basquete,0.672041111612,0.833181299854
vou,0.671162090662,0.789646834879
livre,0.669287090885,0.622370970961
rival,0.668303811447,0.800532318048
fernando,0.665809753747,0.519445279569
partidas,0.664000749469,1.0120028489
diante,0.662434389825,0.742659138137
james,0.659752929692,0.885404112424
joelho,0.659616902126,0.759925921354
figueirense,0.65819233254,0.44776456599
posse,0.653084813286,0.485545256083
situação,0.650633577086,0.843896374853
elenco,0.650291208728,0.649160395082
fabiano,0.647008056375,0.786934972315
granada,0.643474735929,0.387772643165
vitor,0.640548864106,1.09375280711
briga,0.639353368725,0.538471875222
aconteceu,0.634590274897,0.865168041389
tiago,0.634463879884,0.541814394137
chave,0.633777493276,0.532120510769
bruno,0.631994962977,0.556336393577
craque,0.631654622809,0.546426672142
