word,V cluster value,tf norm value
the,1.0,4.10855529243
game,1.0,5.40202523592
legends,1.0,3.23393553266
jogos,1.0,14.0184074837
jogo,1.0,17.409134665
league,1.0,3.75349938375
games,1.0,5.41506727974
of,1.0,6.66858864083
eletrônico,0.0,0.235120580411
eleito,0.0,0.152320895711
elemento,0.0,0.0809966417187
elementos,0.0,0.169376211224
elenco,0.0,0.649160395082
elevado,0.0,0.0399220193959
eletrônicos,0.0,0.139512966878
el,0.0,0.0517578160265
elimina,0.0,0.0969023819587
eliminada,0.0,0.0710717559958
eliminar,0.0,0.304578578942
eliminatórias,0.0,1.15430289699
electronic,0.0,0.604217202679
eficiência,0.0,0.076544548035
eis,0.0,0.0941765471576
educação,0.0,0.0549934351556
editora,0.0,0.137089517585
editores,0.0,0.822827763601
edição,0.0,1.34126391536
edições,0.0,0.112884782045
edmund,0.0,0.112014971302
eduardo,0.0,0.287946333421
efe,0.0,0.302387314116
elogiado,0.0,0.109549597526
efeito,0.0,0.40585045197
efeitos,0.0,0.155631616006
efetiva,0.0,0.0559866268251
effect,0.0,0.0996596197502
eficiente,0.0,0.0901837448111
eficientes,0.0,0.0499447788355
eliminação,0.0,0.668606385737
elogios,0.0,0.309298226098
elogiar,0.0,0.0908041178936
encaixar,0.0,0.0560241625212
empregados,0.0,0.089727635149
empregos,0.0,0.0556148656014
empresa,0.0,1.89752592837
empresas,0.0,0.709464330345
encaixa,0.0,0.0640038649736
encaixam,0.0,0.0718259123974
encara,0.0,0.389380669422
edition,0.0,0.475233591254
encarar,0.0,0.192402295547
encerrado,0.0,0.118382193495
encerrar,0.0,0.102108056479
encerrou,0.0,0.111111111111
encheu,0.0,0.0484143012609
encontra,0.0,0.0683846302886
empolgação,0.0,0.107752060152
empolgado,0.0,0.0713187822608
empecilho,0.0,0.0408680825388
empatou,0.0,0.177640714617
empates,0.0,0.0532025133399
empate,0.0,0.973060775729
empatar,0.0,0.0484143012609
empata,0.0,0.111773099733
emoções,0.0,0.10133432604
emociona,0.0,0.0862420642795
emissora,0.0,0.113273615639
emerson,0.0,0.23822612835
emergente,0.0,0.0604943724526
embora,0.0,0.839051525207
embate,0.0,0.141364280703
embalo,0.0,0.0554224170341
elogiou,0.0,0.0972433276653
editor,0.0,0.25385920531
edge,0.0,0.302150836469
editais,0.0,0.0467528994519
domínio,0.0,0.187330034525
dominando,0.0,0.106895381478
dominar,0.0,0.106927927049
domingo,0.0,0.928393334169
dominick,0.0,0.156890607658
dominou,0.0,0.238049250603
dominância,0.0,0.0700862554083
dono,0.0,0.391785176958
draft,0.0,0.15262038104
donos,0.0,0.212991157336
dores,0.0,0.270735809025
dortmund,0.0,0.105231896738
doses,0.0,0.109490524495
double,0.0,0.328883955429
dourada,0.0,0.158256774194
dominada,0.0,0.115583285364
domicílio,0.0,0.0819704121923
dois,0.0,4.46835594418
documentário,0.0,0.31612224443
dobro,0.0,0.203955414531
diário,0.0,0.13233002997
diálogo,0.0,0.0582185699721
dizer,0.0,0.376393959749
dizendo,0.0,0.210534500688
divulgou,0.0,0.393721035268
divulgar,0.0,0.240642180127
divulgando,0.0,0.147748995973
divulgados,0.0,0.224133010377
divulgado,0.0,0.334003666372
divulgadas,0.0,0.142536916697
divulgada,0.0,0.119995112089
divisão,0.0,0.161336197153
download,0.0,0.532457225649
dragqueen,0.0,0.0697042451541
divididos,0.0,0.0562652017397
década,0.0,0.0630528639618
durou,0.0,0.217509940633
duty,0.0,0.199190341397
duvidado,0.0,0.0983269862919
dá,0.0,0.96455690368
dão,0.0,0.227153862179
débito,0.0,0.205602867272
dólares,0.0,0.122041660664
dream,0.0,0.212966342086
