word,V cluster 0 value,tf norm value
minutos,5.86925247263,4.59140755144
time,5.3490666498,5.21085736446
gol,5.33363757159,3.91517632453
equipe,5.19876215793,5.38402375813
real,4.77066245151,4.27962701698
feira,4.65459896169,6.63423662207
partida,4.25770107094,3.73445248798
final,4.17271655114,4.9373205725
jogador,4.15522433393,4.68028023127
anos,4.14056433179,4.91571457583
técnico,3.94282655569,3.56462451803
bola,3.92353658497,2.91680857213
madrid,3.65962586907,2.75754288117
breno,3.57179712027,3.34439260137
gols,3.56922723254,2.69286933272
espanha,3.53718166993,2.9656773629
barcelona,3.51303539717,2.79061228958
tempo,3.49876036865,4.3141804196
brasileiro,3.4972683835,4.87632646275
clube,3.48087970499,3.15377741762
casa,3.44952614184,3.40081430181
segundo,3.44206600867,4.64121947369
campeonato,3.43378072393,3.42909922129
paulo,3.34764499261,4.23639183759
atacante,3.31635129254,2.88981319147
euro,3.31063623643,3.4981714608
dois,3.24453803467,4.46835594418
vitória,3.16074187952,3.13423114506
espanhol,3.04059979765,2.41562175014
futebol,2.94784151135,3.301483074
título,2.89142898702,4.31037511355
campeão,2.77368072204,3.27410639528
temporada,2.7362703805,2.8250591232
pontos,2.68457409529,2.27903941545
grupo,2.6680735844,2.7649274719
liga,2.63556441956,2.53157804296
torcedores,2.61738174809,2.83342620539
fez,2.57900693037,2.61110358594
seleção,2.57307999343,2.6180042938
bayern,2.55481606978,2.19845209453
alemanha,2.53440892086,2.34179717313
quarta,2.52178690895,3.00284722489
messi,2.41590660311,1.74789023524
munique,2.36915234398,2.10275852657
vai,2.36808818567,3.01190358314
três,2.35523944912,2.96444738924
primeira,2.31145447153,2.87580869334
área,2.27457074997,2.12859744768
notícia,2.23872926599,2.34518400098
dia,2.21795981289,5.32093077415
comente,2.2026813013,2.33907203032
ufc,2.19096609625,3.87983449441
ronaldo,2.15955476267,1.5086905886
guardiola,2.15257030837,1.81756412301
deixe,2.14427622414,2.16156875952
campo,2.11090824044,1.83184225111
sábado,2.09619560768,2.06620034769
rodada,2.08199481485,2.09844051485
defesa,2.06975383391,1.53882235291
competição,2.03026484121,2.05481368611
itália,2.0171379145,1.51631925379
torneio,2.01015067692,2.52315652071
duas,2.0079097284,2.24847688731
copa,1.97799334721,1.77644457533
recado,1.9669211044,1.92546531966
