word,tf norm value
jogo,17.409134665
jogos,14.0184074837
of,6.66858864083
feira,6.63423662207
playstation,6.50286252979
novo,6.4397883303
xbox,5.93517551309
games,5.41506727974
game,5.40202523592
equipe,5.38402375813
dia,5.32093077415
time,5.21085736446
final,4.9373205725
anos,4.91571457583
brasileiro,4.87632646275
monetáriointerno,4.81840908599
brasil,4.75295749281
ano,4.75079310834
jogador,4.68028023127
segundo,4.64121947369
apenas,4.59242923649
minutos,4.59140755144
console,4.56307259533
dois,4.46835594418
tempo,4.3141804196
título,4.31037511355
jogadores,4.30228612023
real,4.27962701698
paulo,4.23639183759
sony,4.15619803355
the,4.10855529243
melhor,4.04988727448
gol,3.91517632453
wii,3.89686450689
ufc,3.87983449441
league,3.75349938375
partida,3.73445248798
além,3.65357593645
técnico,3.56462451803
euro,3.4981714608
campeonato,3.42909922129
casa,3.40081430181
breno,3.34439260137
mundo,3.30879150899
futebol,3.301483074
campeão,3.27410639528
nintendo,3.27248181662
durante,3.25896696005
legends,3.23393553266
clube,3.15377741762
vitória,3.13423114506
bem,3.10801094029
nova,3.08765693943
arena,3.02027939557
vai,3.01190358314
quarta,3.00284722489
espanha,2.9656773629
três,2.96444738924
bola,2.91680857213
atacante,2.88981319147
primeira,2.87580869334
torcedores,2.83342620539
meio,2.82656856003
temporada,2.8250591232
jogar,2.80796312875
barcelona,2.79061228958
grupo,2.7649274719
madrid,2.75754288117
one,2.70936450188
gols,2.69286933272
lançado,2.68510123945
mil,2.67438462566
usmonetáriointerno,2.62675989352
seleção,2.6180042938
fez,2.61110358594
lançamento,2.57362895081
pessoas,2.5572955834
liga,2.53157804296
torneio,2.52315652071
site,2.47725142415
ps,2.46754638865
maior,2.46204157517
espanhol,2.41562175014
quatro,2.41344692675
conta,2.40958508998
afirmou,2.39849152024
evento,2.39152043826
milhões,2.36864290847
confira,2.34917808533
notícia,2.34518400098
alemanha,2.34179717313
comente,2.33907203032
pontos,2.27903941545
microsoft,2.27360974308
duas,2.24847688731
bayern,2.19845209453
parte,2.179732776
deixe,2.16156875952
apesar,2.15949278802
rio,2.14572051893
país,2.13062302069
área,2.12859744768
assim,2.1271859461
munique,2.10275852657
rodada,2.09844051485
segunda,2.08686845174
forma,2.0673125809
sábado,2.06620034769
competição,2.05481368611
série,1.99140987396
super,1.98627762576
versão,1.95832779588
neste,1.95089030972
controle,1.94460395871
