word,V cluster 0 value,V cluster 1 value,V cluster 2 value,tf norm value
time,4.9622283799,0.378989790529,3.04798988879e-18,4.75908187705
feira,2.84450333476,3.29197728789,1.25739102022e-09,4.53428093549
jogo,2.68012064069e-06,9.54459434012,9.13416718244,4.38957008659
equipe,3.88079422469,1.8548944296,7.08322956207e-10,4.29628349948
minutos,5.56732702575,0.0489029883654,1.87802106317e-32,4.28575586041
anos,3.0926080342,1.44630027839,2.91421864861e-11,3.98431219202
final,3.1173720191,1.76499255857,2.22444662667e-11,3.89212463999
jogador,3.1794197887,1.34777739113,2.41349868302e-18,3.86582870218
gol,5.09483149625,0.0030771716432,1.19014739596e-76,3.85918707343
ufc,1.97701600985,0.19934226238,9.66643021222e-28,3.81179311267
brasileiro,2.17189685808,2.29128914356,9.50006850351e-07,3.80965457051
técnico,3.77545717555,0.00445384446199,8.7458156854e-54,3.52244206397
euro,3.15211446617,0.00475976392425,6.71010940812e-68,3.4981714608
real,3.89946048651,1.12692603074,1.11850041269e-15,3.48278546656
partida,3.87646147421,0.405267249422,1.85554327952e-24,3.44447485976
breno,3.3662150688,9.89795820333e-05,7.84883721347e-228,3.34439260137
campeonato,3.16035325763,0.302856140361,1.03512329397e-23,3.26537799981
futebol,2.78945398828,0.0187049205324,1.92951659505e-44,3.26424112787
campeão,2.63985765534,0.0274319249179,2.18497444632e-40,3.19254552377
vitória,3.00153523226,0.0267532045051,1.54065194688e-38,3.09937333634
paulo,2.07542720605,2.17197767624,0.0060087214577,3.09565350225
segundo,1.90649976273,2.75518170319,1.78486037504e-07,3.05561036578
casa,2.9817865189,0.511973307606,1.69592306006e-21,3.03549846629
clube,3.29838519169,0.0388670385497,7.70559590301e-46,2.98580966434
tempo,2.19945012837,2.3486343232,8.00462757099e-09,2.95216731882
dois,1.54571538307,3.30517530788,7.36465656534e-08,2.90913657548
atacante,3.14763983409,0.00574225274448,5.44300692635e-52,2.88981319147
espanha,3.36135431052,0.0210533893077,4.98011340321e-44,2.88823467934
bola,3.74841879791,0.00161901775242,1.47968752021e-67,2.86081932103
torcedores,2.47960692028,0.0319823014175,1.16612595732e-40,2.83342620539
título,1.52897282196,2.61367436319,1.13354851353e-06,2.82727360066
temporada,2.48282444604,0.409003244496,3.82160275208e-22,2.71482253089
madrid,3.48318607264,0.0083141110292,4.9755923235e-59,2.70155363008
gols,3.40497413538,0.00597120006468,7.00219280475e-58,2.69286933272
barcelona,3.35500283792,0.0166066064311,1.17300779469e-53,2.69085422753
dia,0.0792794347216,4.87469799074,0.000223176398547,2.67977127373
monetáriointerno,0.408337299158,3.49747655623,0.260219087762,2.58636431563
seleção,2.39399155056,0.094010975492,2.81825712714e-33,2.49519973222
ano,0.02682799524,4.27995646724,0.000933228857422,2.47653919939
vai,1.65749403574,1.16323913683,9.03580688328e-09,2.39024864488
torneio,1.68339745433,0.532158596999,1.2534526731e-17,2.37363723096
espanhol,2.89649088263,0.00169211819853,9.32184383149e-48,2.36236399077
liga,2.39256857321,0.224267413122,9.07635930338e-25,2.34549247314
alemanha,2.41244213641,0.00157596486303,4.71324518988e-75,2.31517542973
primeira,1.66132223728,1.03742558039,8.72069437833e-12,2.31493371416
grupo,2.12444270343,0.687434032862,9.03296444271e-12,2.2963780827
comente,2.08872780475,0.0206083041245,1.30330978058e-41,2.25573869698
notícia,2.11482986505,0.0230536577819,2.69457271069e-33,2.25514833616
fez,2.08925106038,0.64727488682,1.05897535986e-14,2.22781161935
quarta,1.77525673909,1.17584815383,9.05001133412e-13,2.19772977868
meio,1.18610839243,1.37298704799,3.51852535132e-08,2.19136297217
três,1.46546884463,1.54079953204,2.8930233455e-08,2.16903744099
bayern,2.42824659509,0.000754031650662,2.53944029506e-75,2.14246284344
confira,1.38024084633,0.418301126555,2.21028516578e-15,2.12752064894
pontos,2.51667821799,0.0612457674513,5.29790041914e-34,2.1240740272
rodada,1.98644071089,0.00674773503857,2.26421202857e-40,2.09844051485
rio,1.25111446027,0.273073447907,2.57210131573e-22,2.09739958634
sábado,1.99222129653,0.0265437376683,2.3098245755e-36,2.06620034769
deixe,2.02226255142,0.0403512830288,5.59086862167e-37,2.06138282329
munique,2.24522490159,0.00118186544641,1.43028917567e-72,2.04676927547
melhor,0.0142518130797,3.76493318512,0.00271899620123,2.00075674324
bem,0.662726001861,2.46299286964,5.96914609483e-05,2.0004832101
competição,1.82367663144,0.187890603247,2.85308845556e-24,1.9678166514
jogadores,0.0193956755296,4.57310833793,0.0531595846244,1.94778828016
recado,1.87233130218,0.00260707928633,1.00077043736e-65,1.92546531966
guardiola,2.06886684265,0.000340175963658,9.38353651128e-104,1.81756412301
atleta,1.59937355489,0.0329644132712,2.2114293484e-37,1.81635865092
copa,1.79065594581,0.172612124672,6.86221756724e-26,1.77644457533
apenas,0.000311845471797,3.87553318254,0.642405814523,1.76345267832
duas,1.45809274618,0.849289962508,1.84509746478e-11,1.75227604478
messi,2.29713295061,0.0127607796669,6.34311005569e-46,1.74789023524
campo,1.9960869728,0.0217703045068,5.99647184554e-40,1.72836415965
jogar,0.0221538032161,2.6559383761,0.000102237110926,1.69390847937
área,1.66409158985,0.95979424484,1.21394482107e-11,1.67146173471
zagueiro,1.85932216824,0.000617566601066,5.96341721841e-139,1.666667781
jogos,3.11248814024e-11,1.13835447363,14.0723621839,1.66569902447
aldo,1.02542682871,9.54483054067e-05,1.31579159174e-96,1.6600459664
nba,0.841521422809,0.567052350836,2.12335810149e-12,1.63375425578
milhões,0.995618220736,1.04453114554,3.75062666709e-11,1.60358909191
