X,K,NMI,RAND,DAVIES
X_train,3,0.573719261181,0.591749766231,5.89109649266
X_train,3,0.7701383661,0.77481302375,5.64713697555
X_train,3,0.737054200945,0.745238119498,5.63334771674
X_train,3,0.745962028913,0.756501134574,5.64716875685
X_train,3,0.663249692612,0.571773515823,5.4741361799
X_train,3,0.702251819276,0.676469901371,5.62304783845
X_train,3,0.760019123765,0.759367325463,5.64035345863
X_train,3,0.783036734553,0.797813223993,5.63843726168
X_train,3,0.637249071258,0.557334143464,5.47225114517
X_train,3,0.795969812825,0.785617268991,5.63780030852
X_train_norm,3,0.735683701113,0.760007996351,5.67522656368
X_train_norm,3,0.810967611897,0.808972385044,5.76163467762
X_train_norm,3,0.618488415034,0.523412838136,5.39692676392
X_train_norm,3,0.662448775072,0.666014369545,5.70753478438
X_train_norm,3,0.783864318427,0.815160141356,5.83528976499
X_train_norm,3,0.743665096657,0.771728643012,5.70139560695
X_train_norm,3,0.741767119328,0.733611713036,5.64532442019
X_train_norm,3,0.576991694495,0.535154858811,5.62863003146
X_train_norm,3,0.764680324064,0.777287181908,5.68361062556
X_train_norm,3,0.695447736826,0.694459987595,5.68715890231
X_train_tfidf,3,0.467121112356,0.427961992561,6.68934982801
X_train_tfidf,3,0.595529666773,0.557161764297,7.07051514581
X_train_tfidf,3,0.445823052071,0.322829548643,6.29170249031
X_train_tfidf,3,0.503985642731,0.477401466581,7.082905641
X_train_tfidf,3,0.568713208005,0.486780158099,6.4180701424
X_train_tfidf,3,0.556712135997,0.477486825219,6.62322642734
X_train_tfidf,3,0.460223581568,0.289180149801,5.97709388283
X_train_tfidf,3,0.361428768129,0.265293295426,6.53159545463
X_train_tfidf,3,0.355253740008,0.31469863046,6.63586406556
X_train_tfidf,3,0.35366969535,0.250186739072,6.41998303631
X_train_norm_tfidf,3,0.724989140439,0.715049219627,6.73392943114
X_train_norm_tfidf,3,0.650134352746,0.556702114801,6.38943409024
X_train_norm_tfidf,3,0.313342335854,0.133290155049,5.7228639628
X_train_norm_tfidf,3,0.6595408489,0.647782534347,6.91034287595
X_train_norm_tfidf,3,0.619524660154,0.584120536208,6.89679193123
X_train_norm_tfidf,3,0.491764429985,0.332815427897,6.12941187043
X_train_norm_tfidf,3,0.47565675232,0.345727903889,6.61908075497
X_train_norm_tfidf,3,0.543094051778,0.484356347224,6.59645857786
X_train_norm_tfidf,3,0.405920191015,0.33899224366,7.36622310445
X_train_norm_tfidf,3,0.581621643,0.562327906377,7.11242801757
