X,K,NMI,RAND,DAVIES
X_train,2,0.0159909981206,0.00431974150657,129290234.232
X_train_norm,2,0.0160827814805,0.00434752181086,118822808.884
X_train_tfidf,2,0.0549010950237,0.0147462105113,247160544.348
X_train_norm_tfidf,2,0.241624840086,0.0565856790349,239878702.105
X_train,3,0.017042478114,0.00436374241945,195720070.081
X_train_norm,3,0.017358153675,0.00425033352409,146039180.281
X_train_tfidf,3,0.144177219391,0.0412829766544,245132796.862
X_train_norm_tfidf,3,0.234315591578,0.0777857189069,293890544.288
