X,K,NMI,RAND,DAVIES
X_train,13,0.254506943064,0.204953019982,6.73167290107e+14
X_train,13,0.244246839572,0.167973313986,1.47373237688e+15
X_train,13,0.248382429149,0.136084285267,9.07303843599e+14
X_train,13,0.246662464444,0.157145257581,1.03959410304e+15
X_train,13,0.240851362117,0.1396638153,1.36063952747e+15
X_train,13,0.232837943688,0.160272057639,1.26630157323e+15
X_train,13,0.239987725697,0.11087396147,1.06403778116e+15
X_train,13,0.253677617232,0.168393607536,7.54520579746e+14
X_train,13,0.347094344042,0.274177847741,4.15496426558e+13
X_train,13,0.240044958827,0.174286636334,1.38231137018e+15
X_train_norm,13,0.242808508248,0.133151076345,1.72972719158e+15
X_train_norm,13,0.29500624258,0.132619486891,6.67429198315e+14
X_train_norm,13,0.230686724508,0.181652865646,9.00853584715e+14
X_train_norm,13,0.238875245025,0.154878269997,8.11094265537e+14
X_train_norm,13,0.26206737306,0.175743580313,9.23934593784e+14
X_train_norm,13,0.262864897513,0.169984275034,1.02712290315e+15
X_train_norm,13,0.241152052247,0.196293693887,8.70920303791e+14
X_train_norm,13,0.24803918418,0.152209199616,1.10030079474e+15
X_train_norm,13,0.252529765485,0.160018769611,5.3004999969e+14
X_train_norm,13,0.24389178597,0.16254003731,1.0114855174e+15
X_train_tfidf,13,0.422158355618,0.262788862002,4.63950387661e+13
X_train_tfidf,13,0.381311340074,0.186005959162,1.45744645534e+14
X_train_tfidf,13,0.374050706829,0.215518903911,4.74120442642e+13
X_train_tfidf,13,0.395050018468,0.282873535011,7.87905518028e+13
X_train_tfidf,13,0.395029331951,0.299526543346,1.02990939675e+14
X_train_tfidf,13,0.435284796224,0.355678037059,6.61136018696e+13
X_train_tfidf,13,0.319479877086,0.194799812394,2.3689596902e+15
X_train_tfidf,13,0.425127394168,0.328191103741,7.27357278401e+13
X_train_tfidf,13,0.358276979386,0.192180486676,5.82189259267e+13
X_train_tfidf,13,0.422970251029,0.344504735359,6.25138891207e+13
X_train_norm_tfidf,13,0.376428739074,0.209422729349,6.06732422593e+13
X_train_norm_tfidf,13,0.371303608745,0.243793180741,4.54580292047e+13
X_train_norm_tfidf,13,0.394265242951,0.226181678982,4.73995049879e+13
X_train_norm_tfidf,13,0.3687791626,0.171286679406,5.37660324482e+13
X_train_norm_tfidf,13,0.28237758763,0.219304741278,2.33824375006e+15
X_train_norm_tfidf,13,0.369744072779,0.23840626613,1.06418913384e+14
X_train_norm_tfidf,13,0.40077942524,0.294325493587,1.6861810437e+14
X_train_norm_tfidf,13,0.436502031392,0.322344957055,9.06217364661e+13
X_train_norm_tfidf,13,0.418812800837,0.305869324818,4.95592227057e+13
X_train_norm_tfidf,13,0.350261957751,0.19832184093,6.18332354858e+13
