X,K,NMI,RAND,DAVIES
X_train,3,0.40598597322,0.351561324918,1.42583772071e+13
X_train,3,0.573645128704,0.496982836876,6.01543221705e+13
X_train,3,0.598351547623,0.596898571384,1.45101718291e+14
X_train,3,0.581717645229,0.492627378368,5.13777999572e+12
X_train,3,0.454105229133,0.448375083424,1.48244123196e+13
X_train,3,0.519276271564,0.46891556073,8.72775862554e+12
X_train,3,0.569986043135,0.488416083621,1.5450352174e+13
X_train,3,0.67848872183,0.644361057447,1.20186754049e+13
X_train,3,0.579658477104,0.497890504993,7.76703832785e+12
X_train,3,0.547395161573,0.480301884755,4.10895927247e+12
X_train_norm,3,0.56707304943,0.49301017767,6.4927497503e+13
X_train_norm,3,0.392926877268,0.359613106773,1.54870861804e+13
X_train_norm,3,0.660722280353,0.666861281652,7.56581694212e+12
X_train_norm,3,0.542150068699,0.483335930115,7.12722265297e+12
X_train_norm,3,0.573645128704,0.496982836876,1.9867297248e+13
X_train_norm,3,0.567306731408,0.49823462032,7.67346779569e+12
X_train_norm,3,0.569151654898,0.487959240113,1.44077598715e+13
X_train_norm,3,0.534468938636,0.493659788659,2.23830628325e+14
X_train_norm,3,0.56416141752,0.495206421843,3.58880530737e+13
X_train_norm,3,0.564243288837,0.495115174567,2.41918169331e+13
X_train_tfidf,3,0.48513407979,0.403620825259,6.65460173299e+13
X_train_tfidf,3,0.505505229038,0.436846306086,1.83570523422e+13
X_train_tfidf,3,0.490540976593,0.427686664189,1.30764336614e+13
X_train_tfidf,3,0.447415367964,0.386637005339,6.21342427144e+13
X_train_tfidf,3,0.504118596585,0.470442411122,4.00825941055e+13
X_train_tfidf,3,0.506094169955,0.432770385261,2.01073756079e+13
X_train_tfidf,3,0.500876606933,0.445001452922,1.69795767593e+13
X_train_tfidf,3,0.50957526677,0.448699230289,3.27067962566e+13
X_train_tfidf,3,0.5447102456,0.490912160527,1.00155605249e+13
X_train_tfidf,3,0.508167847535,0.446863714349,1.74761261113e+13
X_train_norm_tfidf,3,0.481872622609,0.438760177603,2.8412279215e+13
X_train_norm_tfidf,3,0.563810946308,0.513603084593,1.80471402205e+13
X_train_norm_tfidf,3,0.511440231738,0.442397668744,4.35303803247e+13
X_train_norm_tfidf,3,0.50486863885,0.44087738201,2.14874216885e+13
X_train_norm_tfidf,3,0.518392279799,0.459494891646,1.91319027009e+13
X_train_norm_tfidf,3,0.475554872124,0.405944855303,1.65791636536e+13
X_train_norm_tfidf,3,0.507757863661,0.446014466992,1.26700533665e+13
X_train_norm_tfidf,3,0.504358507443,0.440672324443,1.33018154625e+13
X_train_norm_tfidf,3,0.54945749133,0.463064381798,3.81528246767e+13
X_train_norm_tfidf,3,0.625764320806,0.621768793354,7.63505733536e+13
