X,K,NMI,RAND,DAVIES
X_train,9,0.192596752711,0.130563907113,3.41308532566e+13
X_train,9,0.197396397455,0.134555717124,3.07876776882e+13
X_train,9,0.188418445481,0.130319356583,1.33879183289e+13
X_train,9,0.185453179835,0.0652445603287,2.91777034166e+13
X_train,9,0.186542918875,0.124462591612,2.50144682396e+13
X_train,9,0.186180830524,0.124922761487,1.50654203956e+13
X_train,9,0.181289695213,0.130492999064,3.42943028807e+13
X_train,9,0.18454038913,0.123685825588,1.43023256174e+13
X_train,9,0.19024428261,0.123841716528,1.23466060243e+13
X_train,9,0.183126400916,0.135225181464,3.64514611488e+13
X_train_norm,9,0.18583732512,0.111266609867,2.73808728892e+13
X_train_norm,9,0.189321721891,0.128846667032,9.13427321191e+12
X_train_norm,9,0.207486164861,0.149401656938,1.79575389342e+13
X_train_norm,9,0.17924859898,0.123229829108,1.15768183988e+14
X_train_norm,9,0.197125109168,0.159058258978,1.91711003894e+14
X_train_norm,9,0.187203528298,0.124595797658,1.77891530325e+13
X_train_norm,9,0.190503677783,0.127694557561,1.98047467651e+13
X_train_norm,9,0.20836710725,0.124237464347,2.32749709158e+13
X_train_norm,9,0.190603974651,0.120909721208,2.8217283062e+13
X_train_norm,9,0.193616163339,0.0706672014347,8.18888649125e+13
X_train_tfidf,9,0.226868417935,0.183378346632,7.07731482166e+13
X_train_tfidf,9,0.311451876107,0.272825190954,7.77457418943e+13
X_train_tfidf,9,0.229236473053,0.128205880182,1.41662445766e+14
X_train_tfidf,9,0.239590589924,0.173866633188,6.52981978082e+13
X_train_tfidf,9,0.292822291667,0.244769927494,1.14638951789e+14
X_train_tfidf,9,0.233695068672,0.162562977384,4.8302884392e+13
X_train_tfidf,9,0.232201657647,0.119210819747,1.39313081631e+14
X_train_tfidf,9,0.23426634788,0.182558387941,8.40877710181e+13
X_train_tfidf,9,0.238412495112,0.173802815972,1.23904642217e+14
X_train_tfidf,9,0.257908388076,0.241033320592,7.13075149687e+13
X_train_norm_tfidf,9,0.240701048857,0.178040986397,9.17017423045e+13
X_train_norm_tfidf,9,0.274221466998,0.203591397131,1.67713663124e+13
X_train_norm_tfidf,9,0.28811715859,0.216578613236,7.1211161853e+13
X_train_norm_tfidf,9,0.235518379146,0.0812482180195,1.26579498765e+13
X_train_norm_tfidf,9,0.30803817678,0.241653979875,8.18762977268e+13
X_train_norm_tfidf,9,0.233621224603,0.154130402696,1.10933516857e+14
X_train_norm_tfidf,9,0.250081863532,0.174125017354,1.826014839e+14
X_train_norm_tfidf,9,0.255010080326,0.195571104405,7.42533127312e+13
X_train_norm_tfidf,9,0.24292559249,0.17847981767,1.17866026823e+14
X_train_norm_tfidf,9,0.247150983477,0.112128564144,9.25525349995e+13
